Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;6;CABLE.COM TELECOMUNICAÇÕES LTDA.;03904227000150;Pequeno Porte;BA;Itabuna;2914802;TVC;1855
2019;6;CABLE.COM TELECOMUNICAÇÕES LTDA.;03904227000150;Pequeno Porte;BA;Ilhéus;2913606;TVC;1969
2019;6;J E J TV POR ASSINATURA LTDA - ME;03425449000190;Pequeno Porte;ES;Nova Venécia;3203908;MMDS;240
2019;6;ITNET LTDA - ME;04690098000107;Pequeno Porte;SE;Itabaiana;2802908;FTTH;32
2019;6;LINCA TELECOMUNICACOES LTDA;03376788000123;Pequeno Porte;PR;Foz do Iguaçu;4108304;TVC;1092
2019;6;ALEGRA TELECOMUNICACOES DO BRASIL LTDA;10716128000100;Pequeno Porte;SP;São João da Boa Vista;3549102;TVC;2475
2019;6;GIGA TV EIRELI - EPP;07070704000180;Pequeno Porte;SP;Ourinhos;3534708;TVC;2517
2019;6;GABISAT SERVICOS DE TV A CABO E TELECOMUNICACOES EM GERAL LTDA ME;07025721000103;Pequeno Porte;RJ;Cabo Frio;3300704;TVC;2669
2019;6;OOPS TELECOM LTDA;16992716000152;Pequeno Porte;AL;Arapiraca;2700300;TVC;953
2019;6;PONTAL CABO EIRELI;03697110000142;Pequeno Porte;SP;Penápolis;3537305;TVC;1520
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Trombudo Central;4218608;FTTH;17
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Luzerna;4210035;FTTH;50
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Lontras;4209904;FTTH;15
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Laurentino;4209508;FTTH;8
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Joaçaba;4209003;FTTH;368
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Navegantes;4211306;FTTH;1
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Ituporanga;4208500;FTTH;1
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Salete;4215307;FTTH;15
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Braço do Trombudo;4202859;FTTH;6
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Blumenau;4202404;FTTH;7
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Canoinhas;4203808;FTTH;4
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Taió;4217808;FTTH;2
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Rodeio;4215109;FTTH;1
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Rio do Oeste;4214607;FTTH;1
2019;6;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Rio do Sul;4214805;FTTH;560
2019;6;TELECOMUNICAÇÕES NORDESTE LTDA.;02995233000105;Pequeno Porte;MA;São Luís;2111300;FTTH;3628
2019;6;TELECOMUNICAÇÕES NORDESTE LTDA.;02995233000105;Pequeno Porte;MA;Paço do Lumiar;2107506;FTTH;3030
2019;6;TELECOMUNICAÇÕES NORDESTE LTDA.;02995233000105;Pequeno Porte;MA;Paço do Lumiar;2107506;TVC;117
